2026-01-22 15:29:59,499 INFO  [main] com.spring.roommgmt.RoomManagementApplication : Starting RoomManagementApplication using Java 21.0.9 with PID 7974 (/Users/andy/IdeaProjects/roommgmt/target/classes started by andy in /Users/andy/IdeaProjects/roommgmt)
2026-01-22 15:29:59,500 INFO  [main] com.spring.roommgmt.RoomManagementApplication : No active profile set, falling back to 1 default profile: "default"
2026-01-22 15:29:59,751 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-22 15:29:59,773 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 18 ms. Found 3 JPA repository interfaces.
2026-01-22 15:29:59,918 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2026-01-22 15:29:59,922 INFO  [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2026-01-22 15:29:59,922 INFO  [main] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.50]
2026-01-22 15:29:59,940 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-01-22 15:29:59,940 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 427 ms
2026-01-22 15:30:00,125 INFO  [main] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-22 15:30:00,135 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-01-22 15:30:00,257 INFO  [main] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection conn1: url=jdbc:h2:file:./db/roommanagement user=ROOT
2026-01-22 15:30:00,258 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-01-22 15:30:00,579 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-22 15:30:00,677 INFO  [main] org.springframework.data.jpa.repository.query.QueryEnhancerFactory : Hibernate is in classpath; If applicable, HQL parser will be used.
2026-01-22 15:30:00,993 INFO  [main] org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:./db/roommanagement'
2026-01-22 15:30:01,021 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2026-01-22 15:30:01,025 INFO  [main] com.spring.roommgmt.RoomManagementApplication : Started RoomManagementApplication in 1.679 seconds (process running for 2.02)
2026-01-22 15:30:01,025 WARN  [main] org.springdoc.core.events.SpringDocAppInitializer : SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-01-22 15:30:01,025 WARN  [main] org.springdoc.core.events.SpringDocAppInitializer : SpringDoc /swagger-ui/index.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-01-22 15:31:20,888 INFO  [SpringApplicationShutdownHook] org.springframework.boot.web.embedded.tomcat.GracefulShutdown : Commencing graceful shutdown. Waiting for active requests to complete
2026-01-22 15:31:22,896 INFO  [tomcat-shutdown] org.springframework.boot.web.embedded.tomcat.GracefulShutdown : Graceful shutdown complete
2026-01-22 15:31:22,906 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-22 15:31:22,909 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-01-22 15:31:22,911 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2026-01-22 15:31:38,784 INFO  [main] com.spring.roommgmt.RoomManagementApplication : Starting RoomManagementApplication using Java 21.0.9 with PID 8278 (/Users/andy/IdeaProjects/roommgmt/target/classes started by andy in /Users/andy/IdeaProjects/roommgmt)
2026-01-22 15:31:38,785 INFO  [main] com.spring.roommgmt.RoomManagementApplication : No active profile set, falling back to 1 default profile: "default"
2026-01-22 15:31:39,028 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-22 15:31:39,047 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 15 ms. Found 3 JPA repository interfaces.
2026-01-22 15:31:39,191 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2026-01-22 15:31:39,195 INFO  [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2026-01-22 15:31:39,195 INFO  [main] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.50]
2026-01-22 15:31:39,209 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-01-22 15:31:39,209 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 412 ms
2026-01-22 15:31:39,368 INFO  [main] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-22 15:31:39,376 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-01-22 15:31:39,488 INFO  [main] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection conn1: url=jdbc:h2:file:./db/roommanagement user=ROOT
2026-01-22 15:31:39,489 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-01-22 15:31:39,788 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-22 15:31:39,883 INFO  [main] org.springframework.data.jpa.repository.query.QueryEnhancerFactory : Hibernate is in classpath; If applicable, HQL parser will be used.
